 24   1.24310   -0.15956    0.65562    0.58720
ATOM  CA  ALA   4.01256     0.99042    0
ATOM  CA  ARG   4.62059     0.71552    0
ATOM  CA  ASN   4.28348     0.87896    0
ATOM  CA  ASP   4.27733     0.88912    0
ATOM  CA  CYS   3.74826     0.95123    0
ATOM  CA  GLN   4.35527     0.79978    0
ATOM  CA  GLU   4.29564     0.77849    0
ATOM  CA  GLY   3.86518     1.05203    0
ATOM  CA  HIS   4.32923     0.79982    0
ATOM  CA  ILE   4.57110     1.04589    0
ATOM  CA  LEU   4.55731     1.02160    0
ATOM  CA  LYS   4.16101     0.65241    0
ATOM  CA  MET   4.49251     0.97725    0
ATOM  CA  PHE   4.69671     1.02315    0
ATOM  CA  PRO   4.51078     0.98890    0
ATOM  CA  SER   4.12788     0.98230    0
ATOM  CA  THR   4.15639     0.89542    0
ATOM  CA  TRP   5.05033     1.01999    0
ATOM  CA  TYR   4.51586     0.86185    0
ATOM  CA  VAL   4.28142     0.98227    0
ATOM  P     A   5.16341     1.41917    0
ATOM  P     C   4.98371     1.45297    0
ATOM  P     G   4.91297     1.27806    0
ATOM  P     T   4.76236     1.03675    0
